event_id,customer_id,event_type,amount,decline_code,timestamp,day_of_month,customer_tenure_days,customer_past_success_rate,customer_prior_failures_30d,is_first_time_customer,ground_truth_recovery_prob,ground_truth_recoverable,ground_truth_best_action
evt_361a32a6a6,cust_0081,payment_failure,559.41,do_not_honor,2026-08-10T14:00:00,10,936,0.9,0,False,0.1681,True,escalate_alternate_payment
evt_12321edf53,cust_0040,subscription_renewal_failure,480.9,insufficient_funds,2026-08-06T15:00:00,6,1002,0.86,0,False,0.6004,True,retry_delayed
evt_09b7af6964,cust_0019,payment_failure,660.74,insufficient_funds,2026-06-30T12:00:00,30,510,0.82,0,False,0.7286,True,retry_delayed
evt_348e9520fd,cust_0039,payment_failure,1308.63,insufficient_funds,2026-07-24T12:00:00,24,161,0.85,0,False,0.4769,False,retry_delayed
evt_0e88205389,cust_0005,subscription_renewal_failure,2467.45,card_expired,2026-07-20T13:00:00,20,1597,0.89,0,False,0.433,False,request_card_update
evt_e74f297485,cust_0056,payment_failure,301.09,bank_technical_decline,2026-07-22T23:00:00,22,588,0.85,0,False,0.8046,False,retry_immediate
evt_7c2182b05b,cust_0042,subscription_renewal_failure,293.66,bank_technical_decline,2026-08-24T00:00:00,24,291,0.99,0,False,0.7906,True,retry_immediate
evt_504cdc83a0,cust_0034,payment_failure,399.55,card_expired,2026-07-19T08:00:00,19,402,0.76,0,False,0.3864,True,request_card_update
evt_3217fb6118,cust_0107,payment_failure,1460.06,limit_exceeded,2026-06-29T20:00:00,29,197,0.86,0,False,0.537,False,retry_delayed
evt_a0978944b2,cust_0017,payment_failure,707.48,do_not_honor,2026-08-19T04:00:00,19,1364,0.76,0,False,0.1822,False,escalate_alternate_payment
evt_ba54f203e3,cust_0061,payment_failure,292.01,insufficient_funds,2026-07-18T05:00:00,18,347,0.39,2,False,0.088,False,retry_delayed
evt_91e798dcf8,cust_0029,payment_failure,497.77,card_expired,2026-08-26T12:00:00,26,365,0.98,0,False,0.2503,False,request_card_update
evt_5f9c81444f,cust_0101,subscription_renewal_failure,2474.7,insufficient_funds,2026-07-09T21:00:00,9,436,0.77,0,False,0.5684,False,retry_delayed
evt_3dfe06d7b8,cust_0010,subscription_renewal_failure,290.53,insufficient_funds,2026-07-24T15:00:00,24,907,0.91,0,False,0.6868,True,retry_delayed
evt_e56af82448,cust_0092,payment_failure,6537.08,invalid_cvv,2026-08-23T08:00:00,23,1727,0.86,0,False,0.3656,True,request_card_update
evt_614c99f05f,cust_0123,subscription_renewal_failure,1442.33,do_not_honor,2026-06-12T08:00:00,12,1721,0.93,0,False,0.2469,False,escalate_alternate_payment
evt_db6e885e8d,cust_0118,subscription_renewal_failure,966.05,insufficient_funds,2026-06-28T11:00:00,28,1398,0.84,0,False,0.7513,False,retry_delayed
evt_4d03cff813,cust_0070,subscription_renewal_failure,1472.46,invalid_cvv,2026-07-01T22:00:00,1,1088,0.98,0,False,0.4178,False,request_card_update
evt_9f71f4a5f4,cust_0125,subscription_renewal_failure,1465.53,card_expired,2026-08-14T11:00:00,14,65,0.77,0,False,0.1809,True,request_card_update
evt_4bdf38affc,cust_0088,payment_failure,819.77,card_expired,2026-06-30T03:00:00,30,1557,0.88,0,False,0.3136,True,request_card_update
evt_a3bbd4ec30,cust_0049,payment_failure,1426.05,insufficient_funds,2026-08-01T08:00:00,1,1551,0.88,0,False,0.7076,True,retry_delayed
evt_6319600a63,cust_0134,payment_failure,349.7,card_expired,2026-08-08T04:00:00,8,235,0.95,0,False,0.2388,False,request_card_update
evt_022250e105,cust_0070,subscription_renewal_failure,2409.58,issuer_unavailable,2026-06-14T00:00:00,14,32,0.54,2,False,0.567,False,retry_immediate
evt_b1d02dab52,cust_0122,subscription_renewal_failure,1429.6,insufficient_funds,2026-06-09T12:00:00,9,407,0.98,0,False,0.6841,True,retry_delayed
evt_6b1c055b8c,cust_0013,subscription_renewal_failure,2472.85,insufficient_funds,2026-07-24T19:00:00,24,293,0.68,1,False,0.3527,True,retry_delayed
evt_ca2dbf456e,cust_0057,subscription_renewal_failure,2381.58,fraud_suspected_by_issuer,2026-07-10T18:00:00,10,809,0.86,0,False,0.1462,False,escalate_alternate_payment
evt_dc964f27eb,cust_0025,payment_failure,2082.97,insufficient_funds,2026-08-10T02:00:00,10,455,0.9,0,False,0.5993,True,retry_delayed
evt_a20a6545bc,cust_0040,payment_failure,3666.94,insufficient_funds,2026-07-07T22:00:00,7,235,0.59,4,False,0.02,False,retry_delayed
evt_1e45382d35,cust_0116,payment_failure,332.09,invalid_cvv,2026-08-22T04:00:00,22,124,0.67,2,False,0.0767,False,request_card_update
evt_6a39ac12cb,cust_0068,payment_failure,904.19,do_not_honor,2026-07-07T14:00:00,7,176,0.76,0,False,0.2226,False,escalate_alternate_payment
evt_f6ca6dacda,cust_0031,payment_failure,1079.4,invalid_cvv,2026-06-11T19:00:00,11,652,0.92,1,False,0.2541,True,request_card_update
evt_9e24190fe7,cust_0010,payment_failure,7693.66,fraud_suspected_by_issuer,2026-08-13T18:00:00,13,1534,0.83,0,False,0.02,False,escalate_alternate_payment
evt_7e8a635ae7,cust_0005,subscription_renewal_failure,1492.71,insufficient_funds,2026-08-06T20:00:00,6,1406,0.95,0,False,0.6836,True,retry_delayed
evt_848b4c7ccc,cust_0046,payment_failure,594.83,card_expired,2026-07-13T10:00:00,13,922,0.9,0,False,0.3444,False,request_card_update
evt_d7add34be0,cust_0026,subscription_renewal_failure,1430.65,card_expired,2026-08-10T01:00:00,10,705,0.85,0,False,0.2992,False,request_card_update
evt_994cbf07bd,cust_0064,subscription_renewal_failure,1428.11,bank_technical_decline,2026-08-09T14:00:00,9,1612,0.85,0,False,0.7591,True,retry_immediate
evt_4d4c45f4f6,cust_0132,payment_failure,806.48,insufficient_funds,2026-06-17T09:00:00,17,1579,0.87,0,False,0.4603,False,retry_delayed
evt_433a789644,cust_0112,subscription_renewal_failure,2375.76,insufficient_funds,2026-06-21T09:00:00,21,1022,0.78,1,False,0.4978,True,retry_delayed
evt_2a3c666ad8,cust_0104,subscription_renewal_failure,969.8,insufficient_funds,2026-07-08T16:00:00,8,63,0.51,1,False,0.4308,False,retry_delayed
evt_2c9f8a32e0,cust_0123,payment_failure,1722.76,bank_technical_decline,2026-06-18T02:00:00,18,529,0.86,0,False,0.8031,True,retry_immediate
evt_0ffdee60cf,cust_0070,payment_failure,1762.95,do_not_honor,2026-07-07T23:00:00,7,1779,0.85,1,False,0.1332,False,escalate_alternate_payment
evt_3e872aa31b,cust_0076,payment_failure,1502.09,invalid_cvv,2026-07-15T10:00:00,15,1217,0.99,0,False,0.3138,False,request_card_update
evt_5d3c4ba380,cust_0096,payment_failure,1057.37,card_expired,2026-07-23T01:00:00,23,689,0.96,1,False,0.4512,False,request_card_update
evt_6a97f23faf,cust_0081,subscription_renewal_failure,1496.36,issuer_unavailable,2026-08-23T04:00:00,23,1474,0.97,0,False,0.8799,True,retry_immediate
evt_bdb8fdaa99,cust_0032,subscription_renewal_failure,484.28,insufficient_funds,2026-07-29T00:00:00,29,1238,0.83,0,False,0.7743,False,retry_delayed
evt_9533b366b4,cust_0039,subscription_renewal_failure,1495.56,do_not_honor,2026-08-26T17:00:00,26,140,0.47,4,False,0.02,False,escalate_alternate_payment
evt_6ddee37bcd,cust_0124,subscription_renewal_failure,290.54,card_expired,2026-06-30T23:00:00,30,103,0.9,0,False,0.1443,False,request_card_update
evt_25f34514c2,cust_0025,subscription_renewal_failure,288.44,limit_exceeded,2026-06-06T10:00:00,6,1471,0.96,0,False,0.5776,True,retry_delayed
evt_78ea746e0a,cust_0095,subscription_renewal_failure,1470.5,insufficient_funds,2026-06-11T19:00:00,11,530,0.88,0,False,0.5579,True,retry_delayed
evt_8efdd8e817,cust_0061,payment_failure,458.02,insufficient_funds,2026-06-02T14:00:00,2,1224,0.78,0,False,0.6448,True,retry_delayed
evt_ce672d41ac,cust_0073,subscription_renewal_failure,971.87,card_expired,2026-07-25T22:00:00,25,353,0.77,1,False,0.2094,True,request_card_update
evt_2c1e433186,cust_0077,payment_failure,1772.34,invalid_cvv,2026-08-13T09:00:00,13,201,0.65,1,False,0.2806,True,request_card_update
evt_39084bce0c,cust_0075,payment_failure,746.72,bank_technical_decline,2026-06-07T19:00:00,7,342,0.49,1,False,0.6762,True,retry_immediate
evt_af99996c16,cust_0127,subscription_renewal_failure,982.9,insufficient_funds,2026-06-25T19:00:00,25,616,0.94,0,False,0.633,True,retry_delayed
evt_0710472d01,cust_0035,payment_failure,4580.44,invalid_cvv,2026-06-17T02:00:00,17,1315,0.91,0,False,0.388,False,request_card_update
evt_d8100260d8,cust_0075,payment_failure,674.27,fraud_suspected_by_issuer,2026-08-07T16:00:00,7,880,0.79,0,False,0.0765,False,escalate_alternate_payment
evt_5cfaf24297,cust_0069,subscription_renewal_failure,1496.22,card_expired,2026-07-14T03:00:00,14,556,0.97,1,False,0.2303,False,request_card_update
evt_4fb71a019a,cust_0036,subscription_renewal_failure,295.87,fraud_suspected_by_issuer,2026-08-11T11:00:00,11,492,0.96,0,False,0.1511,True,escalate_alternate_payment
evt_2913a36420,cust_0003,subscription_renewal_failure,294.14,bank_technical_decline,2026-08-21T11:00:00,21,283,0.86,0,False,0.8803,True,retry_immediate
evt_e4f0738abe,cust_0120,subscription_renewal_failure,981.48,bank_technical_decline,2026-07-30T22:00:00,30,292,0.46,2,False,0.7419,True,retry_immediate
evt_5535fa17f5,cust_0029,payment_failure,433.79,insufficient_funds,2026-08-08T04:00:00,8,24,0.46,4,False,0.02,False,retry_delayed
evt_5b0350f3aa,cust_0099,payment_failure,1557.51,bank_technical_decline,2026-06-20T13:00:00,20,1403,0.98,0,False,0.876,True,retry_immediate
evt_78fa3022a0,cust_0025,payment_failure,4491.49,card_expired,2026-07-27T14:00:00,27,1290,0.85,1,False,0.2819,False,request_card_update
evt_b8223393f5,cust_0060,subscription_renewal_failure,958.53,bank_technical_decline,2026-06-08T12:00:00,8,233,0.99,0,False,0.8062,True,retry_immediate
evt_e84ad3b58a,cust_0031,subscription_renewal_failure,961.22,bank_technical_decline,2026-06-03T01:00:00,3,1717,0.86,0,False,0.7732,True,retry_immediate
evt_798aca91d1,cust_0032,payment_failure,537.19,insufficient_funds,2026-06-30T10:00:00,30,450,0.77,0,False,0.7473,True,retry_delayed
evt_79fdfbe777,cust_0037,payment_failure,150.0,insufficient_funds,2026-07-03T05:00:00,3,1250,0.75,1,False,0.4835,True,retry_delayed
evt_d4dcb37ce3,cust_0028,subscription_renewal_failure,951.67,bank_technical_decline,2026-06-03T05:00:00,3,82,0.78,0,False,0.7303,True,retry_immediate
evt_73685cb2b3,cust_0107,payment_failure,206.4,bank_technical_decline,2026-07-28T16:00:00,28,1557,0.77,0,False,0.7736,True,retry_immediate
evt_4b44099a87,cust_0056,subscription_renewal_failure,298.98,card_expired,2026-08-22T00:00:00,22,118,0.92,1,False,0.1672,False,request_card_update
evt_3f80d632e4,cust_0102,payment_failure,1894.76,insufficient_funds,2026-08-17T04:00:00,17,251,0.87,1,False,0.4556,False,retry_delayed
evt_89ad348b94,cust_0016,payment_failure,554.35,bank_technical_decline,2026-07-08T14:00:00,8,324,0.57,3,False,0.5637,False,retry_immediate
evt_4e097d05dd,cust_0129,subscription_renewal_failure,484.78,do_not_honor,2026-08-10T23:00:00,10,233,0.94,0,False,0.2068,False,escalate_alternate_payment
evt_8bdb151044,cust_0058,payment_failure,1207.03,card_expired,2026-08-25T08:00:00,25,1724,0.86,0,False,0.2631,False,request_card_update
evt_092f046c87,cust_0095,subscription_renewal_failure,989.6,insufficient_funds,2026-06-13T23:00:00,13,1436,0.97,0,False,0.7617,False,retry_delayed
evt_5b847f0a7f,cust_0015,payment_failure,987.72,do_not_honor,2026-07-25T23:00:00,25,1180,0.88,0,False,0.1435,False,escalate_alternate_payment
evt_f1d44566c0,cust_0013,payment_failure,856.53,insufficient_funds,2026-08-01T07:00:00,1,1259,0.82,0,False,0.6226,True,retry_delayed
evt_d507ea0009,cust_0027,payment_failure,1475.12,do_not_honor,2026-08-11T19:00:00,11,1169,0.84,0,False,0.1221,True,escalate_alternate_payment
evt_fa86f896d2,cust_0006,payment_failure,391.34,bank_technical_decline,2026-07-10T10:00:00,10,1377,0.95,0,False,0.851,True,retry_immediate
evt_555ebb4dfb,cust_0089,payment_failure,1566.83,issuer_unavailable,2026-06-04T02:00:00,4,78,0.55,4,False,0.5172,False,retry_immediate
evt_75d40ec67f,cust_0055,subscription_renewal_failure,297.26,issuer_unavailable,2026-08-12T19:00:00,12,959,0.83,0,False,0.8488,True,retry_immediate
evt_88a47603c1,cust_0039,payment_failure,1172.23,bank_technical_decline,2026-08-02T19:00:00,2,321,0.37,1,False,0.7531,False,retry_immediate
evt_4bba9be0c2,cust_0113,payment_failure,351.03,card_expired,2026-08-26T18:00:00,26,471,0.93,0,False,0.2987,False,request_card_update
evt_6157891e3e,cust_0124,payment_failure,739.22,insufficient_funds,2026-07-09T06:00:00,9,661,0.76,0,False,0.4398,False,retry_delayed
evt_6f72893eef,cust_0035,subscription_renewal_failure,486.53,insufficient_funds,2026-07-19T17:00:00,19,622,0.83,0,False,0.6347,False,retry_delayed
evt_966c2a2d74,cust_0090,payment_failure,2690.75,insufficient_funds,2026-07-11T18:00:00,11,384,0.36,1,False,0.1736,False,retry_delayed
evt_09836b7334,cust_0109,payment_failure,2153.67,fraud_suspected_by_issuer,2026-06-22T19:00:00,22,1483,0.9,0,False,0.0513,False,escalate_alternate_payment
evt_d98509445f,cust_0117,payment_failure,536.3,bank_technical_decline,2026-08-07T02:00:00,7,771,0.77,0,False,0.8512,True,retry_immediate
evt_16edc2f477,cust_0101,payment_failure,890.47,invalid_cvv,2026-06-15T16:00:00,15,1557,0.83,0,False,0.3422,False,request_card_update
evt_3c178916be,cust_0130,payment_failure,3718.54,insufficient_funds,2026-06-26T05:00:00,26,183,0.47,2,False,0.3889,False,retry_delayed
evt_e02475e8f7,cust_0039,subscription_renewal_failure,1475.1,card_expired,2026-08-12T18:00:00,12,1372,0.77,1,False,0.2096,False,request_card_update
evt_21b69f1d42,cust_0082,payment_failure,223.01,bank_technical_decline,2026-07-06T18:00:00,6,1314,0.83,0,False,0.8462,True,retry_immediate
evt_ac4d874db1,cust_0014,payment_failure,1212.39,do_not_honor,2026-06-10T20:00:00,10,181,0.82,0,False,0.1493,True,escalate_alternate_payment
evt_d540a5963c,cust_0023,subscription_renewal_failure,2455.5,issuer_unavailable,2026-06-06T14:00:00,6,1068,0.84,0,False,0.7462,True,retry_immediate
evt_17476839ba,cust_0082,payment_failure,1599.76,do_not_honor,2026-07-14T22:00:00,14,1056,0.79,0,False,0.1412,False,escalate_alternate_payment
evt_82c46c2d9a,cust_0021,subscription_renewal_failure,967.67,invalid_cvv,2026-08-18T05:00:00,18,383,0.76,0,False,0.4145,True,request_card_update
evt_2357a6640b,cust_0072,subscription_renewal_failure,292.39,bank_technical_decline,2026-06-09T10:00:00,9,1616,0.83,0,False,0.9315,True,retry_immediate
evt_bc122ea281,cust_0098,subscription_renewal_failure,496.92,insufficient_funds,2026-06-11T18:00:00,11,1512,0.95,1,False,0.519,False,retry_delayed
evt_010e9dea4a,cust_0079,subscription_renewal_failure,989.67,insufficient_funds,2026-08-11T12:00:00,11,1460,0.91,0,False,0.6172,False,retry_delayed
evt_fccdfb26c2,cust_0134,payment_failure,1879.8,card_expired,2026-06-28T10:00:00,28,348,0.5,3,False,0.02,False,request_card_update
evt_ec95f80789,cust_0124,subscription_renewal_failure,2378.77,insufficient_funds,2026-08-09T23:00:00,9,75,0.4,3,False,0.0669,False,retry_delayed
evt_20da87cf35,cust_0086,payment_failure,548.89,do_not_honor,2026-08-19T05:00:00,19,1295,0.78,0,False,0.0278,False,escalate_alternate_payment
evt_4c3715da0f,cust_0112,subscription_renewal_failure,2403.93,bank_technical_decline,2026-07-28T07:00:00,28,191,0.59,2,False,0.7842,True,retry_immediate
evt_618c8b5c80,cust_0120,subscription_renewal_failure,2439.96,card_expired,2026-07-07T12:00:00,7,427,0.84,1,False,0.2442,False,request_card_update
evt_91980555cc,cust_0041,payment_failure,662.42,invalid_cvv,2026-07-18T17:00:00,18,1670,0.9,1,False,0.2894,False,request_card_update
evt_40353a2bce,cust_0026,subscription_renewal_failure,1430.92,insufficient_funds,2026-08-05T04:00:00,5,1086,0.95,0,False,0.7254,True,retry_delayed
evt_0185fc30cd,cust_0056,payment_failure,603.12,card_expired,2026-07-20T02:00:00,20,745,0.97,0,False,0.3241,True,request_card_update
evt_11d4f83b79,cust_0095,subscription_renewal_failure,994.87,issuer_unavailable,2026-06-18T01:00:00,18,682,0.97,0,False,0.7794,False,retry_immediate
evt_aa42bea05e,cust_0120,subscription_renewal_failure,494.88,limit_exceeded,2026-06-03T08:00:00,3,314,0.93,0,False,0.7425,True,retry_delayed
evt_8f68eacd36,cust_0108,payment_failure,708.17,card_expired,2026-08-19T14:00:00,19,152,0.43,1,False,0.1797,False,request_card_update
evt_39a294dc3a,cust_0016,subscription_renewal_failure,1424.17,invalid_cvv,2026-06-19T09:00:00,19,260,0.56,1,False,0.2625,False,request_card_update
evt_d8920a4452,cust_0090,payment_failure,331.72,card_expired,2026-08-07T17:00:00,7,883,0.79,0,False,0.4365,False,request_card_update
evt_b150dd3b3e,cust_0129,payment_failure,958.72,bank_technical_decline,2026-07-18T08:00:00,18,1069,0.88,0,False,0.9292,True,retry_immediate
evt_d589955188,cust_0004,subscription_renewal_failure,289.32,issuer_unavailable,2026-07-13T04:00:00,13,168,0.83,0,False,0.754,False,retry_immediate
evt_f502b87336,cust_0086,subscription_renewal_failure,294.75,card_expired,2026-06-24T04:00:00,24,388,0.95,0,False,0.4607,True,request_card_update
evt_b70ddd7369,cust_0117,subscription_renewal_failure,1498.18,card_expired,2026-07-10T16:00:00,10,108,0.37,2,False,0.0275,False,request_card_update
evt_d1b454cbdc,cust_0121,subscription_renewal_failure,955.27,insufficient_funds,2026-08-23T10:00:00,23,1572,0.91,0,False,0.4776,False,retry_delayed
evt_626db01d76,cust_0094,payment_failure,414.4,fraud_suspected_by_issuer,2026-08-03T22:00:00,3,849,0.93,1,False,0.02,False,escalate_alternate_payment
evt_94163e29ff,cust_0127,subscription_renewal_failure,2410.76,insufficient_funds,2026-08-17T05:00:00,17,1662,0.87,0,False,0.6067,False,retry_delayed
evt_7e270b203f,cust_0026,subscription_renewal_failure,971.38,card_expired,2026-08-28T14:00:00,28,343,0.45,4,False,0.0389,False,request_card_update
evt_125d33b7f9,cust_0090,subscription_renewal_failure,974.68,insufficient_funds,2026-08-21T12:00:00,21,920,0.82,1,False,0.5686,False,retry_delayed
evt_365509cd67,cust_0040,payment_failure,622.5,insufficient_funds,2026-07-01T20:00:00,1,322,0.95,0,False,0.7081,False,retry_delayed
evt_a389d65bf9,cust_0093,payment_failure,150.0,card_expired,2026-07-27T02:00:00,27,1191,0.76,0,False,0.3812,False,request_card_update
evt_9186fc78ce,cust_0035,subscription_renewal_failure,2422.4,insufficient_funds,2026-06-24T15:00:00,24,845,0.83,0,False,0.5815,True,retry_delayed
evt_6a7a196b8d,cust_0030,subscription_renewal_failure,286.08,bank_technical_decline,2026-08-02T06:00:00,2,563,0.92,0,False,0.8667,True,retry_immediate
evt_72088b3226,cust_0018,subscription_renewal_failure,984.49,do_not_honor,2026-07-11T21:00:00,11,1490,0.86,0,False,0.1935,False,escalate_alternate_payment
evt_f7f681a0ad,cust_0074,subscription_renewal_failure,477.08,insufficient_funds,2026-07-17T16:00:00,17,1773,0.79,0,False,0.5417,False,retry_delayed
evt_9a21f71d5a,cust_0051,payment_failure,2603.49,card_expired,2026-08-10T04:00:00,10,514,0.94,0,False,0.3187,False,request_card_update
evt_fa64e2e852,cust_0022,payment_failure,443.61,issuer_unavailable,2026-08-13T02:00:00,13,208,0.7,4,False,0.4674,True,retry_immediate
